,name,qid,measure,value
66377,Advanced BM25,104484,recip_rank,1.0
66378,Advanced BM25,104484,P.5,0.4
66379,Advanced BM25,104484,P.10,0.2
66380,Advanced BM25,104484,P.100,0.03
66381,Advanced BM25,104484,ndcg_cut.5,0.6951
66382,Advanced BM25,104484,ndcg_cut.10,0.6951
66383,Advanced BM25,104484,ndcg_cut.100,0.8103
66520,Advanced BM25,104662,map,0.2
66521,Advanced BM25,104662,recip_rank,1.0
66522,Advanced BM25,104662,P.5,0.2
66523,Advanced BM25,104662,P.10,0.1
66524,Advanced BM25,104662,P.100,0.01
66525,Advanced BM25,104662,ndcg_cut.5,0.3392
66526,Advanced BM25,104662,ndcg_cut.10,0.3392
66527,Advanced BM25,104662,ndcg_cut.100,0.3392
66600,Advanced BM25,104702,map,0.0
66601,Advanced BM25,104702,recip_rank,0.0
66602,Advanced BM25,104702,P.5,0.0
66603,Advanced BM25,104702,P.10,0.0
66604,Advanced BM25,104702,P.100,0.0
66605,Advanced BM25,104702,ndcg_cut.5,0.0
66606,Advanced BM25,104702,ndcg_cut.10,0.0
66607,Advanced BM25,104702,ndcg_cut.100,0.0
60736,Advanced BM25,10471,map,0.8145
60737,Advanced BM25,10471,recip_rank,1.0
60738,Advanced BM25,10471,P.5,0.8
60739,Advanced BM25,10471,P.10,0.4
60740,Advanced BM25,10471,P.100,0.05
60741,Advanced BM25,10471,ndcg_cut.5,0.7754
60742,Advanced BM25,10471,ndcg_cut.10,0.7754
60743,Advanced BM25,10471,ndcg_cut.100,0.8167
66664,Advanced BM25,104738,map,0.2695
66665,Advanced BM25,104738,recip_rank,1.0
66666,Advanced BM25,104738,P.5,0.4
66667,Advanced BM25,104738,P.10,0.2
66668,Advanced BM25,104738,P.100,0.04
66669,Advanced BM25,104738,ndcg_cut.5,0.4775
66670,Advanced BM25,104738,ndcg_cut.10,0.4038
66671,Advanced BM25,104738,ndcg_cut.100,0.4915
66952,Advanced BM25,104903,map,0.0
66953,Advanced BM25,104903,recip_rank,0.0
66954,Advanced BM25,104903,P.5,0.0
66955,Advanced BM25,104903,P.10,0.0
66956,Advanced BM25,104903,P.100,0.0
66957,Advanced BM25,104903,ndcg_cut.5,0.0
66958,Advanced BM25,104903,ndcg_cut.10,0.0
66959,Advanced BM25,104903,ndcg_cut.100,0.0
60808,Advanced BM25,10514,map,0.8857
60809,Advanced BM25,10514,recip_rank,1.0
60810,Advanced BM25,10514,P.5,1.0
60811,Advanced BM25,10514,P.10,0.6
60812,Advanced BM25,10514,P.100,0.07
60813,Advanced BM25,10514,ndcg_cut.5,0.9065
